id,intent,text
0,PlayMusic,I need to hear the  song   Aspro Mavro  from  Bill Szymczyk  on  Youtube
1,PlayMusic,play  Yo Ho  from  the new york pops  on  Youtube
2,PlayMusic,Play some  seventies  music by  Janne Puurtinen  on  Youtube .
3,PlayMusic,play the  Música Da Série De Filmes O Hobbit   album  by  Alex Otaola
4,PlayMusic,Play  Magic Sam  from the  thirties
5,PlayMusic,Play  The Soft Parade .
6,PlayMusic,Play music by  blowfly  from the  seventies
7,PlayMusic,play  Jeff Pilson  on  Youtube
8,PlayMusic,play a  tune  by  Syreeta Wright  from  twenties  from the  top
9,PlayMusic,Please play me  Jerry Lee Lewis 's  If You Say So   track .
10,PlayMusic,play the  newest  by  Exuma
11,PlayMusic,Play the  album   alas y raíces  by  Dave Pybus .
12,PlayMusic,play music by  Helen Ward
13,PlayMusic,Play some  sixties  music.
14,PlayMusic,Plan an  album  by  Roni Duani .
15,PlayMusic,I want to listen to  Born On The Bayou  on  Iheart
16,PlayMusic,Play the  best  music by  Arthur Johnston .
17,PlayMusic,Play the  song   gangsta ? by  Siavash Ghomayshi
18,PlayMusic,Play  Lukasz Gottwald   album  on  Zvooq
19,PlayMusic,Play me some music by  Prince Alla  from the  twenties
20,PlayMusic,Play the  newest   2016   ep  from  Boaz Mauda .
21,PlayMusic,play  Escapada
22,PlayMusic,"I'd like to hear music from  1951 , preferably a  soundtrack ."
23,PlayMusic,Play  2003   Ben Burnley  on  Spotify
24,PlayMusic,Play  Marche Lorraine  by  Rachael Lampa
25,PlayMusic,Play some  soul  music
26,PlayMusic,Play  Robin Hood Rescuing Three Squires  by  Bhupinder Singh
27,PlayMusic,Play the  top-5  songs from  Paddy Reilly  on  zvooq
28,PlayMusic,Open  Groove Shark  and play  native us
29,PlayMusic,play  chant  by  Prurient
30,PlayMusic,play  Shake Your Head
31,PlayMusic,Play  Justin Broadrick 's music on  Slacker .
32,PlayMusic,Play some  1954  songs on my  Itunes .
33,PlayMusic,Play a  2011   ballad  by  Evil Jared Hasselhoff  on  Lastfm .
34,PlayMusic,play  laura love  songs from  1959
35,PlayMusic,Play  Inside The Eye  by  twinkie clark
36,PlayMusic,Play  Goa  music on  Google Music .
37,PlayMusic,Play  The Way It Has To Be  by  Tom G Warrior  on  Zvooq
38,PlayMusic,Play some  nineties   chant  music from  Nicoleta Nicola
39,PlayMusic,"Play  Alone, Again  from  Mike Viola"
40,PlayMusic,open  Spotify  and play a couple of  celtic  songs
41,PlayMusic,Play a  concerto  by  Thekra .
42,PlayMusic,play  The Trail Of The Lonesome Pine  on  Netflix
43,PlayMusic,Please play the  newest  music by  Evil Jared Hasselhoff
44,PlayMusic,Play  Noctámbulo  pl
45,PlayMusic,Open up  Lastfm  and play some songs.
46,PlayMusic,Can you play a  top 5   song  by  Manos Hadjidakis
47,PlayMusic,Play  sixties  on  Spotify
48,PlayMusic,Play music by  Antonella Barba  from the  album   Bath
49,PlayMusic,Play  melody  music from the  fourties .
50,PlayMusic,Play some  Katiejane Garside  on  Vimeo .
51,PlayMusic,Play me a  top-ten   song  by  Phil Ochs  on  Groove Shark
52,PlayMusic,Play  Out From Under  from  Hurricane Chris
53,PlayMusic,Play a  sound track  by  Pee Wee Russell  on  Zvooq .
54,PlayMusic,Play  One Way Ticket  by  Ray Kennedy .
55,PlayMusic,Play my  entertaining  playlist
56,PlayMusic,Will you pull up my  Jueves de Antaño  playlist
57,PlayMusic,Play some  eighties   movement  music
58,PlayMusic,Use  Spotify  to play me music
59,PlayMusic,use  Deezer  to play  top five   Moya Brennan
60,PlayMusic,I'd like to hear  Nas 's  greatest   ballad
61,PlayMusic,Open  Netflix  and find a movie with the  song   heartful
62,PlayMusic,PLay some  fourties  music from  Erin Harkes
63,PlayMusic,Play  dhafer youssef   top-twenty  on  netflix
64,PlayMusic,I'd like to play the  top ten   Mickdeth  on  Google Music
65,PlayMusic,play music by  Don Reno
66,PlayMusic,Play some  Last Fm  music like the  1992   ep  from  Peaches
67,PlayMusic,Play some  indie  music on  spotify .
68,PlayMusic,Play a  cohesive  playlist for me
69,PlayMusic,Play  1966   theme  music on  Slacker .
70,PlayMusic,Play some  jpop  on  Google Music .
71,PlayMusic,Play music from  2002
72,PlayMusic,play  Lastfm   pop  tunes
73,PlayMusic,play a  concerto  that was  most popular  in  1958  by  mickey hart
74,PlayMusic,Let me listen to  Rouhollah Khaleghi  on  deezer .
75,PlayMusic,Please play music from  Itunes
76,PlayMusic,Play me the  most popular   Peja   song  on  Slacker
77,PlayMusic,Play my  70s Smash Hits  playlist.
78,PlayMusic,Play me a  song  from the  fourties
79,PlayMusic,Play  celtic  music
80,PlayMusic,play  Moustapha Amar   Make It Rain
81,PlayMusic,I want to hear a  top ten   soundtrack  from  1984  by  Shinehead
82,PlayMusic,Play the  1951   ballad
83,PlayMusic,I want to hear  Dave Seaman 's  ep
84,PlayMusic,Play music from artist  Ashley
85,PlayMusic,play  Miguelito   top  charting  album
86,PlayMusic,I want to hear  Papa Mali 's songs from the  fifties
87,PlayMusic,play some  tango  on  iheart
88,PlayMusic,Play  jazz  music by  Zvooq
89,PlayMusic,play songs by  Wise
90,PlayMusic,Play music from the  eighties  on  Slacker .
91,PlayMusic,I want to hear  Ready  by  Frankenstein Drag Queens From Planet 13
92,PlayMusic,Play a  song  from the  seventies  by  Pepe Aguilar
93,PlayMusic,Play something by  Brian Chase .
94,PlayMusic,open  Fadl Shaker  on  Spotify  and play a  melody  starting with the  newest
95,PlayMusic,Play a  Scott Lafaro   soundtrack
96,PlayMusic,play songs from the  sixties
97,PlayMusic,Play a  tune  from  Space Mandino .
98,PlayMusic,Open  Vimeo  and paly  every   song  released in  1986
99,PlayMusic,Find me music by  Kaori Utatsuki  off the  album  that has  top-twenty  hits
100,PlayMusic,Play my playlist  TGIF  on  itunes
101,PlayMusic,Play some  thrash metal .
102,PlayMusic,play a  top-10   ballad  from  1995
103,PlayMusic,Play  ballad  from  Mandy Moore
104,PlayMusic,Play  movement  music from  Sheryfa Luna
105,PlayMusic,Play the artist  Joe
106,PlayMusic,play some  Prabha Atre
107,PlayMusic,Play  ballad  music by  Jeff Lynne .
108,PlayMusic,Play me a  1957   ep
109,PlayMusic,Play  Pease Porridge Hot  by  Johnny Vicious  on  Zvooq
110,PlayMusic,play a  1994   tune  by  Lena Horne
111,PlayMusic,Play a  tune  by  Houston  on  Spotify
112,PlayMusic,Play a  top fifty   track  from the  twenties
113,PlayMusic,Play  Sense Tu  from  Ebi Hamedi
114,PlayMusic,play a  good   John Maher   record  with  Netflix
115,PlayMusic,"use  netflix  to play  Bizzy Bone   Kiss Me Goodnight, Sergeant Major"
116,PlayMusic,Play music from  1969  on  lastfm  .
117,PlayMusic,play something from  1981
118,PlayMusic,play  Heavy Machinery  by  Phil Spector  on  Zvooq
119,PlayMusic,Play  i believe  from  Chico Buarque  off of  iheart
120,PlayMusic,Play some  symphonic rock .
121,PlayMusic,Play some  twenties   chant  music on  Slacker
122,PlayMusic,Play some songs from the  fifties
123,PlayMusic,Play a  song  by  Electric Tones  from their  Kurutta Taiyō   album  on  Last Fm
124,PlayMusic,play some  Bertine Zetlitz   record
125,PlayMusic,"Play my  Hardstyle, Baby  playlist on  Netflix"
126,PlayMusic,Play the  top   symphony  music from  Ejigayehu Shibabaw
127,PlayMusic,Open  Itunes  and play  Heath  music from  1981
128,PlayMusic,I want to listen to a  concerto  from  Timour Moutsouraev .
129,PlayMusic,Play me the  dinner  playlist
130,PlayMusic,play music by  Shinji Miyazaki
131,PlayMusic,Play any music on  Spotify
